,timestamp,open,high,low,close
0,2018-09-07,0.9682,0.9683,0.9637,0.9658
1,2018-09-06,0.9714,0.9715,0.9647,0.9651
2,2018-09-05,0.9741,0.9754,0.9704,0.9714
3,2018-09-04,0.969,0.9767,0.9686,0.9738
4,2018-09-03,0.9696,0.9708,0.9678,0.969
5,2018-09-02,0.9693,0.9702,0.9685,0.9696
6,2018-08-31,0.9688,0.9703,0.9648,0.9685
7,2018-08-30,0.9707,0.9716,0.9681,0.9688
8,2018-08-29,0.9763,0.9777,0.9699,0.9707
9,2018-08-28,0.9794,0.9809,0.9741,0.9765
10,2018-08-27,0.9829,0.9846,0.9784,0.9795
11,2018-08-26,0.983,0.984,0.9816,0.9828
12,2018-08-24,0.9861,0.9865,0.9806,0.9833
13,2018-08-23,0.9827,0.9866,0.9817,0.9862
14,2018-08-22,0.9846,0.9854,0.9803,0.9827
15,2018-08-21,0.9908,0.9908,0.9838,0.9846
16,2018-08-20,0.9953,0.9969,0.9905,0.9908
17,2018-08-19,0.9944,0.9957,0.9941,0.9952
18,2018-08-17,0.9971,0.9978,0.9928,0.9957
19,2018-08-16,0.9936,0.9974,0.991,0.997
20,2018-08-15,0.994,0.9983,0.9923,0.9936
21,2018-08-14,0.9933,0.9951,0.9897,0.994
22,2018-08-13,0.9932,0.9954,0.991,0.9933
23,2018-08-12,0.995,0.9957,0.992,0.9933
24,2018-08-11,0.9948,0.9948,0.9948,0.9948
25,2018-08-10,0.994,0.9975,0.9924,0.9948
26,2018-08-09,0.9931,0.9951,0.9889,0.9939
27,2018-08-08,0.9955,0.9971,0.9917,0.993
28,2018-08-07,0.9964,0.9968,0.9926,0.9955
29,2018-08-06,0.9946,0.9985,0.9936,0.9964
30,2018-08-05,0.9938,0.9947,0.9925,0.9946
31,2018-08-03,0.9954,0.9966,0.9916,0.994
32,2018-08-02,0.9916,0.9956,0.9911,0.9954
33,2018-08-01,0.9903,0.9934,0.9898,0.9917
34,2018-07-31,0.9881,0.9907,0.9864,0.9903
35,2018-07-30,0.9941,0.9957,0.9873,0.9881
36,2018-07-29,0.9935,0.9957,0.9931,0.9941
37,2018-07-27,0.9941,0.9978,0.9927,0.994
38,2018-07-26,0.9911,0.995,0.9898,0.9941
39,2018-07-25,0.9939,0.9949,0.9904,0.9911
40,2018-07-24,0.993,0.9954,0.9918,0.9939
41,2018-07-23,0.9918,0.9942,0.9896,0.993
42,2018-07-22,0.9923,0.9942,0.991,0.9918
43,2018-07-20,0.9992,1.001,0.9912,0.9919
44,2018-07-19,0.9989,1.0043,0.9957,0.9992
45,2018-07-18,1.0002,1.0035,0.9978,0.9989
46,2018-07-17,0.997,1.0003,0.9924,1.0002
47,2018-07-16,1.0021,1.0024,0.9958,0.9969
48,2018-07-15,1.0007,1.0023,1.0002,1.0021
49,2018-07-14,1.0013,1.0013,1.0013,1.0013
50,2018-07-13,1.0028,1.0068,1.0006,1.0014
51,2018-07-12,0.9957,1.0032,0.9942,1.0027
52,2018-07-11,0.9923,0.9966,0.99,0.9956
53,2018-07-10,0.9915,0.9962,0.9904,0.9923
54,2018-07-09,0.9892,0.993,0.9853,0.9915
55,2018-07-08,0.9898,0.9905,0.9881,0.9891
56,2018-07-06,0.9934,0.9944,0.9881,0.9893
57,2018-07-05,0.9925,0.9946,0.9905,0.9934
58,2018-07-04,0.9919,0.994,0.99,0.9925
59,2018-07-03,0.9937,0.995,0.991,0.992
60,2018-07-02,0.9905,0.9966,0.9896,0.9937
61,2018-07-01,0.9925,0.9933,0.9889,0.9905
62,2018-06-29,0.9976,0.9978,0.9891,0.9903
63,2018-06-28,0.9969,0.9992,0.9954,0.9976
64,2018-06-27,0.9909,0.9976,0.9886,0.9969
65,2018-06-26,0.9869,0.9923,0.9853,0.9909
66,2018-06-25,0.9877,0.989,0.9852,0.9869
67,2018-06-24,0.9895,0.9895,0.9872,0.9877
68,2018-06-23,0.9876,0.9876,0.9876,0.9876
69,2018-06-22,0.9911,0.9919,0.987,0.9878
70,2018-06-21,0.9961,0.9986,0.9895,0.991
71,2018-06-20,0.9942,0.9983,0.9934,0.9962
72,2018-06-19,0.9954,0.9978,0.9913,0.9941
73,2018-06-18,0.9979,0.999,0.9933,0.9954
74,2018-06-17,0.9953,0.998,0.9952,0.9978
75,2018-06-15,0.9965,0.9988,0.994,0.9974
76,2018-06-14,0.9848,0.9973,0.9821,0.9965
77,2018-06-13,0.9869,0.9895,0.9836,0.9848
78,2018-06-12,0.9859,0.9884,0.9826,0.9869
79,2018-06-11,0.9847,0.9874,0.9834,0.9859
80,2018-06-10,0.9856,0.9861,0.9837,0.9848
81,2018-06-08,0.9803,0.9888,0.9797,0.9846
82,2018-06-07,0.986,0.9864,0.9786,0.9802
83,2018-06-06,0.9843,0.9886,0.9831,0.9859
84,2018-06-05,0.988,0.9893,0.9826,0.9843
85,2018-06-04,0.9886,0.9894,0.9825,0.988
86,2018-06-03,0.9873,0.9888,0.9864,0.9887
87,2018-06-01,0.9842,0.9913,0.984,0.988
88,2018-05-31,0.9889,0.9891,0.9823,0.9841
89,2018-05-30,0.991,0.9935,0.9876,0.9889
90,2018-05-29,0.9935,0.9983,0.9849,0.9909
91,2018-05-28,0.9927,0.9958,0.9906,0.9935
92,2018-05-27,0.9901,0.993,0.9886,0.9927
93,2018-05-25,0.991,0.9937,0.9884,0.9896
94,2018-05-24,0.9943,0.9947,0.988,0.991
95,2018-05-23,0.9921,0.9978,0.9892,0.9943
96,2018-05-22,0.9964,0.999,0.9915,0.9921
97,2018-05-21,0.9978,1.0002,0.9962,0.9965
98,2018-05-20,0.9974,0.9982,0.9959,0.9978
99,2018-05-18,1.0013,1.0018,0.9946,0.9972
