,timestamp,open,high,low,close
0,2018-09-07,0.7198,0.7205,0.7136,0.7163
1,2018-09-06,0.7193,0.7211,0.7163,0.7199
2,2018-09-05,0.7179,0.7218,0.7143,0.7192
3,2018-09-04,0.7211,0.7236,0.7155,0.7179
4,2018-09-03,0.7187,0.7224,0.7165,0.7211
5,2018-09-02,0.7193,0.7194,0.7181,0.7187
6,2018-08-31,0.7262,0.7266,0.7173,0.719
7,2018-08-30,0.7307,0.7313,0.7247,0.7262
8,2018-08-29,0.7338,0.7349,0.7272,0.7307
9,2018-08-28,0.7349,0.7362,0.7317,0.7337
10,2018-08-27,0.7333,0.7357,0.7304,0.7349
11,2018-08-26,0.7322,0.7335,0.7314,0.7333
12,2018-08-24,0.7246,0.7345,0.7234,0.7326
13,2018-08-23,0.735,0.7352,0.7237,0.7246
14,2018-08-22,0.7359,0.737,0.733,0.735
15,2018-08-21,0.7345,0.7382,0.7329,0.7359
16,2018-08-20,0.7312,0.7347,0.7292,0.7345
17,2018-08-19,0.7308,0.7317,0.7295,0.7311
18,2018-08-17,0.7261,0.7319,0.7249,0.7316
19,2018-08-16,0.7239,0.7287,0.7214,0.7259
20,2018-08-15,0.724,0.7248,0.7199,0.7238
21,2018-08-14,0.7272,0.7283,0.722,0.724
22,2018-08-13,0.7291,0.73,0.7253,0.7272
23,2018-08-12,0.7287,0.7293,0.7249,0.7291
24,2018-08-10,0.7369,0.7375,0.7277,0.73
25,2018-08-09,0.743,0.7453,0.7365,0.7369
26,2018-08-08,0.7418,0.744,0.738,0.743
27,2018-08-07,0.7385,0.744,0.7381,0.7418
28,2018-08-06,0.7394,0.7405,0.7371,0.7385
29,2018-08-05,0.7403,0.7403,0.739,0.7394
30,2018-08-03,0.7363,0.7412,0.7345,0.7395
31,2018-08-02,0.7405,0.7412,0.7352,0.7363
32,2018-08-01,0.7413,0.7424,0.7388,0.7405
33,2018-07-31,0.741,0.7441,0.7401,0.7412
34,2018-07-30,0.7401,0.7413,0.7384,0.7409
35,2018-07-29,0.739,0.7405,0.739,0.7401
36,2018-07-27,0.7378,0.7415,0.7367,0.7399
37,2018-07-26,0.7449,0.7463,0.737,0.7376
38,2018-07-25,0.7423,0.7464,0.7389,0.7449
39,2018-07-24,0.7382,0.7434,0.7357,0.7423
40,2018-07-23,0.7431,0.7438,0.7369,0.7382
41,2018-07-22,0.7417,0.7432,0.741,0.7431
42,2018-07-20,0.7356,0.7431,0.7315,0.7422
43,2018-07-19,0.7397,0.7442,0.732,0.7356
44,2018-07-18,0.7382,0.7408,0.734,0.7397
45,2018-07-17,0.7419,0.7438,0.7375,0.7382
46,2018-07-16,0.7422,0.7442,0.7407,0.7418
47,2018-07-15,0.741,0.7423,0.7409,0.7421
48,2018-07-13,0.7402,0.7424,0.7366,0.7423
49,2018-07-12,0.7365,0.742,0.7358,0.7402
50,2018-07-11,0.7426,0.7432,0.7358,0.7365
51,2018-07-10,0.7465,0.7484,0.7412,0.7426
52,2018-07-09,0.7431,0.7484,0.7425,0.7465
53,2018-07-08,0.7428,0.7441,0.7424,0.7431
54,2018-07-06,0.7387,0.7444,0.7374,0.7424
55,2018-07-05,0.7384,0.7408,0.7359,0.7387
56,2018-07-04,0.7385,0.7425,0.7371,0.7382
57,2018-07-03,0.7338,0.7404,0.7312,0.7385
58,2018-07-02,0.74,0.7405,0.7308,0.7338
59,2018-07-01,0.7395,0.7413,0.7387,0.74
60,2018-06-29,0.735,0.7409,0.7332,0.7402
61,2018-06-28,0.7342,0.7362,0.7327,0.735
62,2018-06-27,0.7391,0.7407,0.7323,0.7342
63,2018-06-26,0.7415,0.7423,0.7378,0.7391
64,2018-06-25,0.7438,0.7443,0.7393,0.7414
65,2018-06-24,0.7439,0.7442,0.7428,0.7438
66,2018-06-22,0.738,0.7444,0.7371,0.744
67,2018-06-21,0.7372,0.7394,0.7343,0.7379
68,2018-06-20,0.738,0.7409,0.7363,0.7371
69,2018-06-19,0.7422,0.7427,0.7345,0.738
70,2018-06-18,0.7437,0.7454,0.7411,0.7422
71,2018-06-17,0.744,0.7447,0.7435,0.7437
72,2018-06-15,0.7476,0.7481,0.7435,0.7435
73,2018-06-14,0.7576,0.7578,0.7466,0.7475
74,2018-06-13,0.7573,0.7609,0.7528,0.7576
75,2018-06-12,0.7608,0.7624,0.7563,0.7573
76,2018-06-11,0.7593,0.7622,0.7591,0.7608
77,2018-06-10,0.7596,0.7602,0.757,0.7593
78,2018-06-08,0.7623,0.7627,0.7558,0.7598
79,2018-06-07,0.7669,0.7673,0.761,0.7623
80,2018-06-06,0.7619,0.7677,0.7614,0.7669
81,2018-06-05,0.7652,0.7656,0.7592,0.7619
82,2018-06-04,0.7562,0.7666,0.7559,0.7652
83,2018-06-03,0.7567,0.7572,0.7553,0.7562
84,2018-06-01,0.7573,0.7573,0.7514,0.7566
85,2018-05-31,0.7574,0.7593,0.755,0.7573
86,2018-05-30,0.75,0.7584,0.7474,0.7573
87,2018-05-29,0.7546,0.7553,0.7495,0.75
88,2018-05-28,0.7558,0.7581,0.7538,0.7545
89,2018-05-27,0.7547,0.7563,0.7544,0.7558
90,2018-05-25,0.758,0.759,0.754,0.7552
91,2018-05-24,0.7565,0.7583,0.754,0.758
92,2018-05-23,0.7579,0.7583,0.752,0.7565
93,2018-05-22,0.7587,0.7605,0.7564,0.7578
94,2018-05-21,0.7523,0.7588,0.75,0.7587
95,2018-05-20,0.7524,0.7532,0.7514,0.7522
96,2018-05-18,0.7513,0.7528,0.7486,0.7509
97,2018-05-17,0.752,0.7548,0.7494,0.7513
