,timestamp,open,high,low,close
0,2018-09-07,1.1623,1.1649,1.1599,1.1606
1,2018-09-06,1.1632,1.1659,1.1604,1.1624
2,2018-09-05,1.1583,1.164,1.1542,1.1632
3,2018-09-04,1.1617,1.1618,1.1529,1.1583
4,2018-09-03,1.1597,1.1628,1.1588,1.1617
5,2018-09-02,1.1595,1.1608,1.1587,1.1597
6,2018-08-31,1.1663,1.169,1.1583,1.1599
7,2018-08-30,1.1706,1.1718,1.1639,1.1663
8,2018-08-29,1.1695,1.171,1.1651,1.1706
9,2018-08-28,1.1681,1.1733,1.1661,1.1693
10,2018-08-27,1.1628,1.1694,1.1593,1.168
11,2018-08-26,1.163,1.163,1.161,1.1628
12,2018-08-24,1.154,1.164,1.1537,1.1621
13,2018-08-23,1.1597,1.1598,1.1528,1.154
14,2018-08-22,1.1574,1.1623,1.1552,1.1597
15,2018-08-21,1.1492,1.1601,1.1484,1.1574
16,2018-08-20,1.1438,1.1492,1.1393,1.1492
17,2018-08-19,1.1436,1.1441,1.1431,1.1438
18,2018-08-17,1.1374,1.1445,1.1364,1.1437
19,2018-08-16,1.1345,1.1409,1.1334,1.1374
20,2018-08-15,1.135,1.1355,1.13,1.1345
21,2018-08-14,1.1405,1.1429,1.1329,1.135
22,2018-08-13,1.1398,1.1433,1.1364,1.1405
23,2018-08-12,1.1386,1.14,1.1367,1.1398
24,2018-08-10,1.1521,1.1537,1.1386,1.1412
25,2018-08-09,1.1612,1.162,1.1518,1.152
26,2018-08-08,1.16,1.1628,1.1571,1.1612
27,2018-08-07,1.1556,1.1608,1.1549,1.16
28,2018-08-06,1.1561,1.157,1.1528,1.1556
29,2018-08-05,1.1565,1.1572,1.1559,1.1561
30,2018-08-03,1.1586,1.1611,1.1559,1.1565
31,2018-08-02,1.1663,1.1668,1.158,1.1585
32,2018-08-01,1.1686,1.17,1.1656,1.1663
33,2018-07-31,1.1708,1.1746,1.1682,1.1686
34,2018-07-30,1.166,1.172,1.1646,1.1708
35,2018-07-29,1.1657,1.1662,1.165,1.166
36,2018-07-27,1.1641,1.1664,1.1619,1.1659
37,2018-07-26,1.1731,1.1744,1.1636,1.1641
38,2018-07-25,1.1682,1.1739,1.1663,1.1731
39,2018-07-24,1.1691,1.1717,1.1653,1.1682
40,2018-07-23,1.1734,1.1751,1.1682,1.1691
41,2018-07-22,1.1722,1.1735,1.172,1.1734
42,2018-07-20,1.1645,1.1739,1.1625,1.1718
43,2018-07-19,1.1643,1.1679,1.1574,1.1644
44,2018-07-18,1.1658,1.1665,1.16,1.1643
45,2018-07-17,1.171,1.1745,1.1649,1.1658
46,2018-07-16,1.1683,1.1725,1.1674,1.171
47,2018-07-15,1.1682,1.1692,1.1677,1.1683
48,2018-07-13,1.1664,1.1687,1.1611,1.1684
49,2018-07-12,1.1676,1.1696,1.1648,1.1664
50,2018-07-11,1.1736,1.176,1.1664,1.1676
51,2018-07-10,1.175,1.1763,1.1689,1.1736
52,2018-07-09,1.175,1.1791,1.1731,1.1749
53,2018-07-08,1.1743,1.1754,1.1735,1.175
54,2018-07-06,1.1691,1.1768,1.1679,1.1746
55,2018-07-05,1.1659,1.172,1.1648,1.1691
56,2018-07-04,1.166,1.1682,1.1628,1.1659
57,2018-07-03,1.164,1.1673,1.1619,1.1659
58,2018-07-02,1.1674,1.1682,1.159,1.1639
59,2018-07-01,1.1651,1.1691,1.1629,1.1674
60,2018-06-29,1.1564,1.169,1.156,1.1684
61,2018-06-28,1.1559,1.1601,1.1526,1.1564
62,2018-06-27,1.165,1.1672,1.1539,1.156
63,2018-06-26,1.1702,1.1721,1.1634,1.165
64,2018-06-25,1.1669,1.1713,1.1627,1.1702
65,2018-06-24,1.1657,1.1669,1.1654,1.1669
66,2018-06-22,1.161,1.1675,1.1598,1.1654
67,2018-06-21,1.1575,1.1634,1.1507,1.1609
68,2018-06-20,1.1588,1.16,1.1536,1.1577
69,2018-06-19,1.1621,1.1644,1.153,1.1588
70,2018-06-18,1.1595,1.1627,1.1564,1.1621
71,2018-06-17,1.1606,1.161,1.1583,1.1595
72,2018-06-15,1.1583,1.1627,1.1542,1.1609
73,2018-06-14,1.1799,1.1852,1.1562,1.1582
74,2018-06-13,1.1746,1.1803,1.1725,1.1799
75,2018-06-12,1.1775,1.181,1.1732,1.1746
76,2018-06-11,1.1771,1.1821,1.1769,1.1775
77,2018-06-10,1.1764,1.1777,1.1752,1.1771
78,2018-06-08,1.1797,1.181,1.1725,1.1768
79,2018-06-07,1.1782,1.184,1.1777,1.1797
80,2018-06-06,1.172,1.1796,1.1711,1.1782
81,2018-06-05,1.1699,1.1732,1.1651,1.172
82,2018-06-04,1.1662,1.1744,1.1661,1.1699
83,2018-06-03,1.1654,1.1669,1.1651,1.1662
84,2018-06-01,1.1705,1.1718,1.1616,1.1659
85,2018-05-31,1.1665,1.1724,1.164,1.1705
86,2018-05-30,1.1541,1.1676,1.1517,1.1664
87,2018-05-29,1.1626,1.164,1.1509,1.1541
88,2018-05-28,1.1689,1.173,1.1605,1.1626
89,2018-05-27,1.1654,1.1691,1.1648,1.1689
90,2018-05-25,1.1721,1.1734,1.1644,1.165
91,2018-05-24,1.1705,1.175,1.1689,1.1721
92,2018-05-23,1.1782,1.179,1.1674,1.1704
93,2018-05-22,1.1795,1.183,1.1755,1.1782
94,2018-05-21,1.1766,1.1797,1.1715,1.1795
95,2018-05-20,1.176,1.1779,1.176,1.1766
96,2018-05-18,1.1797,1.1822,1.1749,1.177
97,2018-05-17,1.1816,1.1837,1.1775,1.1797
98,2018-05-16,1.1818,1.1854,1.1762,1.1815
99,2018-05-15,1.1928,1.194,1.1816,1.1818
